"",Jordanien,Jordanie,11'296,,,,,,,,,,,11'296
"","Korea, Republik","Corée, République",,322'853,21'359,,,,,,,,,344'212
"",(Südkorea),(Corée du Sud),,,,,,,,,,,,
"",Kuwait,Koweït,20'430,,,,,,,,,,,20'430
"",Macao,Macao,6'302,,50'500,,,,,,,,,56'802
"",Malaysia,Malaisie,,,,,2'512'131,,,,3'182'010,,,5'694'141
"",Oman,Oman,5'000,5'928'351,2'438'053,,46'018,,,,,,,8'417'422
"",Pakistan,Pakistan,,9'712,12'949'920,,337'485,,,,,,,13'297'117
"",Qatar,Qatar,31'699,,,,,,,,,,,31'699
"",Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM13,KM16,Total
"",Saudi-Arabien,Arabie Saoudite,,29'550,,,1'175'554,,,,,,,1'205'104
"",Singapur,Singapour,391'602,1'365,3'966'323,,,,162'661,4'476,,,,4'526'427
"",Thailand,Thaïlande,,30'495,,,68'958,,,,,,,99'453
"",Vereinigte,Emirats Arabes,1'037'411,,,,,,,,,,,1'037'411
"",Arabische Emirate,Unis,,,,,,,,,,,,
"",,,1'850'121,34'180'083,19'727'678,16'218,32'554'783,315'581,162'661,4'476,7'211'248,,,96'022'849
Australien,Australien,Australie,9'057,,352'439,,,,,,,,,361'496
Australie,,,,,,,,,,,,,,
"",Neuseeland,Nouvelle-Zélande,33'683,,,,,,,,,,,33'683
"",,,42'740,,352'439,,,,,,,,,395'179
