Geschäftsnummer,Bestimmungsland,Güterart,Geschäftstyp,Richtung,Exportkontrollnummer (EKN),Wert (CHF)
8026566,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,100
8026566,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,100
8026566,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,70
8026566,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,516
8026566,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,960
8026567,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1700
8026567,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1300
8026567,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1250
8026567,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1400
8026567,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1500
8026567,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,2500
8027415,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,1640.7
8026704,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a1,2027
8027029,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,5A002.a.1,4321
8026823,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1650
8027238,Vereinigte Staaten von Amerika,Dual Use Güter,Einzelbewilligung,Ausfuhr,3A002,29840
8026684,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1881
8026684,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,742.5
8026760,Vereinigte Staaten von Amerika,Nukleargüter,Einzelbewilligung,Ausfuhr,0E001,1000
8026909,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,150
8026909,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,1710
8026909,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,150
8026909,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,580
8026909,Vereinigte Staaten von Amerika,National kontrollierte Güter,Einzelbewilligung,Ausfuhr,5.1,600
8027033,Vietnam,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.c.2,1600
8027033,Vietnam,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.c.2,10500
8027033,Vietnam,Besondere militärische Güter,Einzelbewilligung,Ausfuhr,ML10.c.2,10500
