Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Niederlande,Pays-Bas,272065.0,5722501.0,24949184.0,1839778.0,,6648128.0,,28440.0,,123327.0,,,,,,,,,,,,
Niger,Niger,1582.0,,,,,,,,,,,,,,,,,,,,,
Norwegen,Norvège,37506.0,1829960.0,3959981.0,,,85165.0,,1283842.0,,,,,,,,6410.0,,,,,,
Oman,Oman,,,,,159284.0,,,,,,,,,,,,,,,,,
Österreich,Autriche,606678.0,65499.0,3428410.0,,103164.0,60211.0,,117740.0,,,,,,,,,,,,,,
Pakistan,Pakistan,2900.0,79806710.0,,,30035300.0,,,,,,,,,,,,,,,,,
Polen,Pologne,457275.0,,4221213.0,,,,,,,,,,,,,,,,,,,
Portugal,Portugal,13835.0,,,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,,157796.0,,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,20448.0,1168323.0,,144300.0,131047.0,,,2629764.0,,,,,,,,,,,,,,
Rumänien,Roumanie,315949.0,382032.0,194688.0,,18000.0,37652489.0,,,,206400.0,,,,,,,,,,,,
Russische Föderation,Russie,50406.0,,,,,,,,,,,,,,,,,,,,,
San Marino,Saint-Marin,7832.0,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,22740.0,16324800.0,40.0,,15392430.0,368071.0,,,,,,,,,,,,,,,,
Schweden,Suède,219051.0,508920.0,6535831.0,35900.0,3165230.0,1473483.0,,613690.0,,2199670.0,,,,,,,,,,,,
Serbien,Serbie,240.0,,,,,,,,,,,,,,,,,,,,,
Singapur,Singapour,61230.0,62597.0,262064.0,,583915.0,,,2090400.0,,,,,,,,,,,,,,
Slowakische Republik,Slovaquie,19915.0,,,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,1655.0,,3695832.0,,,,842.0,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,13300.0,,,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,69850.0,4900175.0,1779727.0,,10306367.0,338202.0,17930.0,,,,,,,,,19140.0,,,,,,
Staat Katar,État du Qatar,76100.0,,,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,24911.0,98783.0,71868.0,,,,,467896.0,,,,,,,,,,,,,,
Tansania,Tanzanie,10100.0,,80.0,,,,,,,,,,,,,,,,,,,
Thailand,Thaïlande,2400.0,,,,,,,,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,152675.0,,185497.0,,,,,232004.0,,845.0,,,,,,,,,,,,
Türkei,Turquie,66013.0,,3869622.0,2640000.0,36000.0,,,,,,,,,,,,,,,,,
Ukraine,Ukraine,359950.0,,36057.0,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,735672.0,178475.0,279270.0,,111392.0,,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,1664866.0,645253.0,1805326.0,1453448.0,260000.0,1050814.0,,216210.0,,21634637.0,,,,,,61377.0,,,,,,
Volksrepublik Bangladesch,République populaire du Bangladesh,60.0,,,,,,,,,,,,,,,,,,,,,
