Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Ägypten,Egypte,27960.0,3000.0,,,,,,,,,,,,,,,,,,,,
Andorra,Andorre,1600.0,,,,,,,,,,,,,,,,,,,,,
Argentinien,Argentine,,106818.0,,,,,,,,,,,,,,,,,,,,
Australien,Australie,13419.0,2830.0,5510211.0,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,750.0,,1745500.0,,,,,,,,,,,,,,,,,,,
Belgien,Belgique,647477.0,2442.0,1863959.0,204501.0,,76252811.0,,340251.0,,51787.0,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,224127.0,19880.0,,,,,,,,,,,,,,,,,,,,
Botswana,Botswana,,,,,,149055.0,,,,,,,,,,,,,,,,
Brasilien,Brésil,,,,,559380.0,3452118.0,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,169040.0,,35702.0,,,,,151508.0,,,,,,,,,,,,,,
Chile,Chili,1830.0,,,,,493701.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,68874.0,9444242.0,9276014.0,1082920.0,,62544800.0,,1272070.0,,,,,,,,,,,,,,
Deutschland,Allemagne,6441579.0,15289934.0,21884756.0,244330.0,215589.0,31805319.0,19293.0,4355266.0,,284480.0,,,,,,367248.0,,,,,,
Estland,Estonie,2510683.0,,60559.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,114105.0,73775.0,6964233.0,,,744971.0,,105306.0,,22558374.0,,,,,,,,,,,,
Frankreich,France,1783424.0,4104193.0,6553253.0,255917.0,598526.0,650000.0,,,,3286505.0,,,,,,,,,,,,
Ghana,Ghana,838750.0,,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,41070.0,943696.0,,,2909665.0,161096.0,,,,,,,,,,2571.0,,,,,,
Grossbritannien,Grande-Bretagne,795853.0,519484.0,25380807.0,,111364.0,1733145.0,,16172696.0,,2695386.0,,,,,,,,,,,,
Hongkong,Hong-Kong,3300.0,,480.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,,,,,2686226.0,,,,,,,,,,,,,,,,,
Irland,Irlande,68315.0,,,1953258.0,,3833822.0,,,,,,,,,,,,,,,,
Island,Islande,3650.0,,,,,,,,,,,,,,,,,,,,,
Israel,Israël,,,,,,1711118.0,,,,,,,,,,,,,,,,
Italien,Italie,875451.0,223340.0,23930.0,,4497974.0,1890054.0,,30317.0,,372723.0,,,,,,54903.0,,,,,,
Japan,Japon,114480.0,,182970.0,,,,,,,,,,,,,,,,,,,
Jordanien,Jordanie,11095.0,,31723.0,8400.0,,1185000.0,,,,,,,,,,,,,,,,
Kamerun,Cameroun,1180.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,489968.0,,7638056.0,,15832.0,451760.0,,966031.0,,316502.0,,,,,,,,,,,,
Kasachstan,Kazakhstan,10000.0,,,,,,,,,,,,,,,,,,,,,
Kenia,Kenya,125600.0,,,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,22915.0,,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,67431.0,,2982.0,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,2075.0,,,,,,53735.0,,,,,,,,,,,,,,,
Libanon,Liban,118186.0,,3000.0,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,14550.0,,22416.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,157071.0,,574968.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,105228.0,24789.0,855.0,3759939.0,9111407.0,,,,,,,,,,,,,,,,,
Malta,Malte,36359.0,,26074.0,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,94481.0,,,,,,,,,,,,,,,,,,,,,
