Land,Pays,KM 1,KM 2,KM 3,KM 4,KM 5,KM 6,KM 7,KM 8,KM 10,KM 16
Belgien , Belgique,262280,214672,3220906,2066,,53697,,150489,,
Bosnien , Bosnie,42320,,,,,,,,,
Bulgarien , Bulgarie,34285,,31948,,,,,,,
Dänemark , Danemark,15811,,1382495,,,,,,,
Deutschland , Allemagne,5424866,2828455,39353354,394821,1619213,13095907,99698,1172148,1721974,301269
Estland , Estonie,,,12532,,,,,,,
Finnland , Finlande,172712,94480,193310,,,631055,,,432740,
Frankreich , France,745117,313654,905966,126044,30000,1709715,,13362,2265928,
Griechenland , Grèce,8055,17760,8348,,,86615,,,,10200
Gr. Britannien , Royaume Uni,984959,934612,1123000,,848207,151515,3960,10130181,2697309,
Irland , Irlande,21400,78300,8792,,,42642380,,,,
Italien , Italie,772669,646907,406882,,4282955,9976,,43667,,1250
Lettland , Letonie,8970,,,,,,,,,
Litauen , Lituanie,7023,,,,,,,,,
Luxemburg , Luxembourg,106564,,54026,,,,,,,
Malta , Malte,5463,,,,,,,,,
Niederlande , Pays-Bas,360696,2727850,7038194,,,,,,,
Norwegen , Norvège,326371,,605196,,,203000,,105200,,
Österreich , Autriche,265276,1186638,7374417,,16463582,211741,,15120,55477,31962
Polen , Pologne,617360,,57280,,,,,,,
Portugal , Portugal,,,1480,,,,,,,
Rumänien , Roumanie,36270,16201,34200,,,,,,,
Russland , Russie,5047,,,,,,,,,
San Marino , St Marin,1500,,,,,,,,,
Schweden , Suède,156871,1956075,3808884,107450,5187473,15814958,,,,
Slowakai , Slovaquie,6450,,,,,,,,,
Slowenien , Slovenie,4928,,,,,,,,,
Spanien , Espagne,140325,3123488,414383,,15159281,22056771,,1777697,10772,458576
Tschechien , Rép. Tchèque,144371,,13243,,,,,1462,,
Türkei , Turquie,66553,,,,,,,,,
Ungarn , Hongrie,9970,,,,,,,,,
Aegypten , Egypte,483840,440770,,,,,,,,
Botswana , Botswana,22592,,,,,60731442,,,,
Kenia , Kenya,1010,,2880,,,,,,,
Südafrika , Afrique du Sud,2944,371144,104647,,,,,95723,,
Tunesien , Tunisie,,,,,,,,,1199112,
Argentinien , Argentine,19400,,,,,,,,,
Brasilien , Brésil,,,,,101731,,,2750,,
Chile , Chili,5000,,614504,,24570,,,,,
Dom. Rep. , Rep Dom.,340628,,,,,,,,,
Kanada , Canada,168595,155,38116,,,,,,98235,
Uruguay , Uruguay,6300,,,,,,,,,
USA , Etats-Unis,1202014,4118584,1131431,,7074533,75638,,1363744,19059400,
Arab. Emirate , Emirats Arabes,223458,40143,1480567,8146231,238040,12997232,,25,,
Bahrein , Bahrein,9300,49000,,,704120,,,,230741,
Hongkong , Hong Kong,,,480,,,,,,,
Indonesien , Indonésie,3768,,,,,,,,,
Japan ,Japon,692371,17025,242586,,,,,,,
Jordanien , Jordanie,439964,1670000,,,,148349,,,201627,
Korea (Süd) , Corée du Sud,15400,,,,,,,,,
Kuwait , Koweït,22657,,,,,,,,,
Libanon , Liban,6200,,,,,,,,,
Macau , Macau,292189,,4973,,,,,,,
Malaysia , Malaisie,,1414454,6000,7536,11611516,,,,,
Oman , Oman,13700,225560,,,147937,,,,,
Saudi Arabien , Arab. Saoudite,9100,158618,,,2223692,,,,,
Singapur , Singapour,32280,3336701,441719,,2254584,,,115340,54820,
Thailand , Thailande,39800,,,,21735,,,,26225,
,,,,,,,,,,,
Australien , Australie,47183,,61445,,,,,,,
