Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Australien,Australie,105904.0,,207791.0,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,,1001368.0,,,1286982.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,544469.0,1164.0,1419215.0,,,549950.0,,1810306.0,,319712.0,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,148258.0,,5100.0,,,,5145.0,27198.0,,,,,,,,,,,,,,
Brasilien,Brésil,,99941.0,,,15820643.0,27962.0,,25900.0,,,,,,,,,,,,,,
Brunei,Brunei,,,500225.0,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,14667.0,,,,,,,2045271.0,,,,,,,,,,,,,,
Chile,Chili,,136918.0,46168.0,,1290657.0,71520.0,,,,34.0,,,,,,,,,,,,
Dänemark,Danemark,17464.0,786309.0,3161537.0,,27015.0,2719447.0,,557825.0,,,,,,,,,,,,,,
Deutschland,Allemagne,4415333.0,14418480.0,39053815.0,85737.0,14385217.0,47375496.0,12945.0,9172509.0,,1231054.0,,,,,,151099.0,,,,,,
Dominikanische Republik,République dominicaine,16600.0,,,,,,,,,,,,,,,,,,,,,
El Salvador,El Salvador,3704.0,,,,,,,,,,,,,,,,,,,,,
Estland,Estonie,320661.0,,139474.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,416800.0,475342.0,,,,11880.0,,57380.0,,2417.0,,,,,,,,,,,,
Frankreich,France,1644328.0,4774.0,1811786.0,331416.0,154000.0,15000.0,,378173.0,,3232367.0,,,,,,,,,,,,
Ghana,Ghana,2500.0,,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,22455.0,,,,349.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,207482.0,1888400.0,11382097.0,,618373.0,60562.0,,4049937.0,,867179.0,,,,,,,,,,,,
Hongkong,Hong-Kong,,,600.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,45981.0,,26763.0,,45425507.0,1000.0,,,,,,,,,,,,,,,,
Indonesien,Indonésie,742406.0,21545081.0,143.0,,21798300.0,,,,,139051.0,,,,,,,,,,,,
Irland,Irlande,4556.0,140870.0,,,,751313.0,,,,,,,,,,,,,,,,
Island,Islande,1017.0,,,,,,,,,,,,,,,,,,,,,
Israel,Israël,751.0,,,,,90885.0,,,,16850.0,,,,,,,,,,,,
Italien,Italie,676906.0,5234154.0,4618460.0,,12824495.0,,,997769.0,,4868.0,,,,,,73690.0,,,,,,
Japan,Japon,21456.0,27189.0,452849.0,,,,,,,,,,,,,,,,,,,
Jordanien,Jordanie,11887.0,,,,,,,,,,,,,,,,,,,,,
