Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Kanada,Canada,1542414.0,,119797.0,,,36617.0,,,,172877.0,,,,,,,,,,,,
Kenia,Kenya,32066.0,,,,,,,,,,,,,,,,,,,,,
Kosovo,Kosovo,,,8161.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,985.0,,71845.0,,,,,225.0,,,,,,,,,,,,,,
Kuwait,Koweït,15114.0,,,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,12616.0,,2645.0,,,,,,,,,,,,,,,,,,,
Libanon,Liban,680656.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,,,4101.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,31234.0,,90832.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,190607.0,,951442.0,,,,,,,9140.0,,,,,,,,,,,,
Malta,Malte,11139.0,,,,,,,,,,,,,,,,,,,,,
Mexiko,Mexico,136855.0,,,,,,,,,,,,,,,,,,,,,
Mongolei,Mongolie,,,236.0,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,17320.0,,2895.0,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,336965.0,639054.0,2368167.0,,,1344360.0,,43513.0,,,,,,,,,,,,,,
Norwegen,Norvège,59382.0,,4825489.0,,71802.0,402568.0,,438778.0,,,,,,,,,,,,,,
Oman,Oman,438535.0,79300.0,10300451.0,,,91240.0,64837.0,,,,,,,,,,,,,,,
Österreich,Autriche,244607.0,6903.0,4172059.0,,100670.0,281421.0,,106.0,,,,,,,,,,,,,,
Pakistan,Pakistan,1935.0,13120912.0,,,7663013.0,,,,,,,,,,,,,,,,,
Paraguay,Paraguay,,,378451.0,,,,,,,,,,,,,,,,,,,
Polen,Pologne,66125.0,,13093.0,,,,,25390.0,,,,,,,,,,,,,,
Portugal,Portugal,60.0,,446.0,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,10797.0,,,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,7473.0,51440.0,2294688.0,,29279.0,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,,,,,105564.0,13282831.0,,689.0,,,,,,,,,,,,,,
Russische Föderation,Russie,2100.0,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,9036.0,3892295.0,,,1877816.0,,,,,,,,,,,,,,,,,
Schweden,Suède,159477.0,82310.0,2518272.0,10524.0,563417.0,35190.0,,1075935.0,,241720.0,,,,,,,,,,,,
Senegal,Sénégal,58452.0,,,,,,,,,,,,,,,,,,,,,
Singapur,Singapour,3366.0,7675.0,300.0,,106250.0,21193.0,6.0,185531.0,,,,,,,,,,,,,,
Slowakische Republik,Slovaquie,813026.0,2418.0,101506.0,,,,,225.0,,,,,,,,,,,,,,
Slowenien,Slovénie,13126.0,,65802.0,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,167751.0,,303500.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,65421.0,301395.0,1397001.0,,24280.0,18250.0,,230117.0,,411960.0,,,,,,,,,,,,
Staat Katar,État du Qatar,311484.0,,,,,,,,,,,,,,,,,,,,,
Staat Vatikanstadt,État de la Cité du Vatican,,,4900.0,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,19180.0,1682465.0,2351987.0,,11199928.0,,,1361498.0,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,1381780.0,54667.0,294024.0,,,,,,,,,,,,,,,,,,,
Türkei,Turquie,1406.0,,,,136065.0,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,280.0,,2192341.0,,,,,,,,,,,,,,,,,,,
Uruguay,Uruguay,4266.0,,,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,534174.0,560867.0,6877571.0,,133755.0,,,560.0,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,1893628.0,253935.0,8063351.0,,181330.0,34739.0,,750256.0,,14631299.0,,,,,,489742.0,,,,,,
