Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Ägypten,Egypte,399889.0,,,,,,,,,,,,,,,,,,,,,
Algerien,Algérie,,,985000.0,,,,,,,,,,,,,,,,,,,
Australien,Australie,28182.0,1778097.0,,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,131000.0,84575.0,14800.0,,12282568.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,571185.0,,1920469.0,29450.0,,56016288.0,,905600.0,,288599.0,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,64563.0,,,,,,,,,,,,,,,,,,,,,
Botswana,Botswana,,,,,,1360028.0,,,,,,,,,,,,,,,,
Brasilien,Brésil,2385.0,,,,520540.0,10139191.0,,,,,,,,,,,,,,,,
Brunei,Brunei,179515.0,,,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,34821.0,,117798.0,,,,,,,,,,,,,,,,,,,
Chile,Chili,756962.0,733101.0,66.0,,13631814.0,119852.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,89447.0,259073.0,18953284.0,,,57658881.0,,389146.0,,,,,,,,,,,,,,
Deutschland,Allemagne,5428103.0,7358543.0,26431080.0,233628.0,593696.0,92831359.0,6225.0,4722775.0,,436689.0,,,,,,197377.0,,,,,,
Estland,Estonie,402917.0,,7803.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,101250.0,1255522.0,15810.0,,10746.0,,,,,934065.0,,,,,,,,,,,,
Frankreich,France,2293404.0,1735493.0,7886872.0,426831.0,774550.0,,31.0,72538.0,,1910035.0,,,,,,270253.0,,,,,,
Gabun,Gabon,2595.0,,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,1700.0,1643022.0,,,2569204.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,186243.0,2056035.0,48661565.0,4133149.0,,,,11978753.0,,2255664.0,,,,,,,,,,,,
Guinea,Guinée,6200.0,,,,,,,,,,,,,,,,,,,,,
Hongkong,Hong-Kong,40176.0,,26177.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,890883.0,410.0,,,3221038.0,,,,,101481.0,,,,,,,,,,,,
Indonesien,Indonésie,286880.0,,,,,,,,,,,,,,,,,,,,,
Irland,Irlande,4593.0,,5267428.0,1672829.0,,2792660.0,,,,,,,,,,,,,,,,
Israel,Israël,,,,,,100638.0,,,,,,,,,,,,,,,,
Italien,Italie,1141153.0,665987.0,2563986.0,,7292970.0,,,596886.0,,,,,,,,131045.0,,,,,,
Japan,Japon,,20424.0,167707.0,,,,,,,,,,,,,,,,,,,
Kanada,Canada,778611.0,,5000846.0,,2000.0,4147768.0,,,,216223.0,,,,,,,,,,,,
