Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Kosovo,Kosovo,,,68418.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,3243.0,,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,347615.0,,5440.0,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,43972.0,,43800.0,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,3450.0,,,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,123474.0,,248099.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,161504.0,622922.0,866134.0,4986288.0,7956876.0,,,,,,,,,,,,,,,,,
Mali,Mali,850.0,,46.0,,,,,,,,,,,,,,,,,,,
Malta,Malte,54040.0,,2782.0,,,,,,,,,,,,,,,,,,,
Montenegro,Montenegro,12356.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,128440.0,,,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,1804539.0,3287160.0,12448260.0,1734145.0,276361.0,1127251.0,,10.0,,77839.0,,,,,,,,,,,,
Niger,Niger,5214.0,,,,,,,,,,,,,,,,,,,,,
Norwegen,Norvège,102931.0,4790854.0,1486178.0,16128.0,,14683.0,,599585.0,,,,,,,,,,,,,,
Oman,Oman,,25573.0,450841.0,,64984.0,,,,,,,,,,,,,,,,,
Österreich,Autriche,123711.0,657949.0,5640924.0,,44290.0,4262.0,,2228.0,,,,,,,,,,,,,,
Pakistan,Pakistan,2060.0,631286.0,,,866389.0,,,,,,,,,,,,,,,,,
Panama,Panama,3000.0,,,,,,,,,,,,,,,,,,,,,
Polen,Pologne,116002.0,,47252.0,,,,,,,,,,,,,,,,,,,
Portugal,Portugal,63170.0,,,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,,,946250.0,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,15276.0,436706.0,,1702993.0,,,,,,,,,,,,,,,,,,
Republik Trinidad und Tobago,République de Trinité-et-Tobago,6900.0,,,,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,15348.0,10500.0,466503.0,,,4589.0,,,,,,,,,,,,,,,,
San Marino,Saint-Marin,47007.0,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,221748.0,64967150.0,3445000.0,,62675385.0,284988.0,,,,,,,,,,,,,,,,
Schweden,Suède,321758.0,729960.0,11056083.0,160960.0,687618.0,242241.0,,794455.0,,1816442.0,,,,,,104368.0,,,,,,
Serbien,Serbie,225.0,,,,,,,,,,,,,,,,,,,,,
Singapur,Singapour,131792.0,1288343.0,2643437.0,,295650.0,,60820.0,,,4144780.0,,,,,,,,,,,,
Slowakische Republik,Slovaquie,14511.0,,928.0,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,21144.0,224235.0,4846050.0,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,218887.0,,2987.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,19431.0,936787.0,353377.0,,2226560.0,12640753.0,,,,,,,,,,23584.0,,,,,,
Staat Katar,État du Qatar,715155.0,,1846447.0,,,,,,,,,,,,,,,,,,,
Staat Vatikanstadt,État de la Cité du Vatican,,,3800.0,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,1692.0,515700.0,1151230.0,,14474.0,,,528678.0,,,,,,,,,,,,,,
Surinam,Surinam,2175.0,,,,,,,,,,,,,,,,,,,,,
Thailand,Thaïlande,18600.0,,,,130546.0,,,,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,289413.0,,102551.0,,,,,330407.0,,,,,,,,,,,,,,
Türkei,Turquie,53411.0,,,,13668.0,,,,,,,,,,,,,,,,,
Turkmenistan,Turkmenistan,10000.0,,,,,,,,,,,,,,,,,,,,,
Ukraine,Ukraine,527636.0,,15490.0,,,,,,,65741.0,,,,,,,,,,,,
Ungarn,Hongrie,982.0,,66735.0,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,651753.0,252873.0,3031668.0,,50600.0,,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,2194386.0,122237.0,5281893.0,1168565.0,320000.0,193683.0,,550855.0,,26534827.0,,,,,,20375.0,,,,,,
