Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Österreich,Autriche,138484.0,67143.0,5865955.0,,15016.0,,,1182.0,,,,,,,,,,,,,,
Pakistan,Pakistan,,106359.0,,,854320.0,,,,,,,,,,,,,,,,,
Polen,Pologne,42361.0,,6878.0,,,,,521.0,,,,,,,,,,,,,,
Portugal,Portugal,240.0,,1500696.0,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,,,,,1600.0,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,27782.0,530468.0,395502.0,,,,,,,,,,,,,,,,,,,
Republik Nordmazedonien,Macédoine,2748.0,,,,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,13106.0,,85595.0,,,11075762.0,,146.0,,,,,,,,,,,,,,
Russische Föderation,Russie,942704.0,,166606.0,,,,,45.0,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,156624.0,3586211.0,2914887.0,,17553358.0,,,,,547806.0,,,,,,,,,,,,
Schweden,Suède,49615.0,199891.0,4493672.0,2841.0,4020528.0,684933.0,,1361885.0,,440417.0,,,,,,,,,,,,
Seychellen,Seychelles,212699.0,,,,,,,,,,,,,,,,,,,,,
Singapur,Singapour,287967.0,878593.0,321094.0,,108706.0,164870.0,,105620.0,,,,,,,,,,,,,,
Slowakische Republik,Slovaquie,51607.0,,137028.0,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,30942.0,,15118.0,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,141919.0,,835425.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,88588.0,1714931.0,382503.0,,4374738.0,11971132.0,,,,54954.0,,,,,,,,,,,,
Staat Katar,État du Qatar,77000.0,,,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,76698.0,80400.0,676650.0,,200328.0,,,64300.0,,,,,,,,,,,,,,
Thailand,Thaïlande,902.0,,,,100370.0,,,,,15040.0,,,,,,,,,,,,
Tschechische Republik,République tchèque,168941.0,,13454.0,,,,,1035.0,,,,,,,,,,,,,,
Türkei,Turquie,151916.0,341664.0,621.0,2200000.0,19800.0,,,275.0,,,,,,,,,,,,,,
Ukraine,Ukraine,707644.0,,6901.0,,,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,39776.0,,2836844.0,,,,1648.0,12739.0,,,,,,,,,,,,,,
Uruguay,Uruguay,184.0,,24.0,,,,,,,,,,,,,,,,,,,
Venezuela,Venezuela,,12646.0,,,2719.0,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,548436.0,487653.0,729319.0,,1082393.0,,,,,129938400.0,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,2867511.0,41194.0,3907677.0,,,153920.0,,589258.0,,24334902.0,,,,,,502149.0,,,,,,
