Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Australien,Australie,55344.0,868.0,5076830.0,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,6935.0,6460.0,,2705778.0,104804.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,463695.0,,1667612.0,,,3564275.0,,687653.0,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,56171.0,,23823.0,,,,,,,,,,,,,,,,,,,
Botswana,Botswana,,,,,,17700.0,,,,,,,,,,,,,,,,
Brasilien,Brésil,,215672.0,102.0,,371484.0,9811561.0,,933.0,,,,,,,,,,,,,,
Brunei,Brunei,,,179700.0,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,43182.0,,,,,,,143539.0,,,,,,,,,,,,,,
Chile,Chili,6112.0,37359.0,1438300.0,,423540.0,7148.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,7653.0,1310632.0,1225726.0,,20334.0,358040.0,,1082553.0,,,,,,,,,,,,,,
Deutschland,Allemagne,3762622.0,38652434.0,71032237.0,87700.0,24437078.0,98171638.0,1513.0,8885679.0,,280570.0,,,,,,69332.0,,,,,,
Estland,Estonie,51831.0,,100.0,,,3000.0,,,,,,,,,,,,,,,,
Finnland,Finlande,56686.0,1144846.0,9884.0,,174688.0,,,144.0,,1529306.0,,,,,,,,,,,,
Frankreich,France,1460795.0,1865846.0,4539295.0,324729.0,1024854.0,9431.0,,907374.0,,5458046.0,,,,,,50140.0,,,,,,
Ghana,Ghana,,280000.0,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,2495.0,2575356.0,,,929746.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,813086.0,2618458.0,6340865.0,3747403.0,,651.0,,5778135.0,,1006809.0,,,,,,,,,,,,
Hongkong,Hong-Kong,19974.0,,79800.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,2634758.0,,1431675.0,,22843206.0,,,,,,,,,,,,,,,,,
Indonesien,Indonésie,2626.0,,,,,,,,,,,,,,,,,,,,,
Irland,Irlande,4144.0,,1719321.0,,,78392.0,,,,,,,,,,,,,,,,
Italien,Italie,1304766.0,25242402.0,11406622.0,,22569257.0,,,534087.0,,,,,,,,68010.0,,,,,,
Japan,Japon,36017.0,,370281.0,,,,197408.0,,,,,,,,,,,,,,,
Jordanien,Jordanie,28378.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,629547.0,16028.0,70130.0,,,1504255.0,,,,188722.0,,,,,,,,,,,,
Kasachstan,Kazakhstan,5000.0,,,,,,,,,,,,,,,,,,,,,
Kosovo,Kosovo,,,11936.0,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,157526.0,,142809.0,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,,,5902.0,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,120.0,,32722.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,45198.0,,24860.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,24484.0,538.0,10802264.0,,497853.0,,,4100.0,,2077.0,,,,,,,,,,,,
Malta,Malte,,,10353.0,,,,,,,,,,,,,,,,,,,
Mexiko,Mexico,455011.0,,212206.0,,,,,,,,,,,,,,,,,,,
Namibia,Namibie,999.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,48894.0,,,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,512719.0,993233.0,2146651.0,,,1030374.0,,39600.0,,37716.0,,,,,,,,,,,,
Norwegen,Norvège,48705.0,3000563.0,6413713.0,163943.0,,2384007.0,2440.0,813475.0,,,,,,,,318985.0,,,,,,
Oman,Oman,,,4845280.0,,5995.0,,,,,,,,,,,,,,,,,
