Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Ägypten,Egypte,69488.0,,,,,,,,,,,,,,,,,,,,,
Argentinien,Argentine,,502619.0,,,222412.0,,,,,,,,,,,,,,,,,
Australien,Australie,69221.0,,5163036.0,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,149000.0,427897.0,1551696.0,,1088226.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,352833.0,14555.0,1685472.0,,,42641758.0,,100967.0,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,30601.0,2200.0,,,,,,,,,,,,,,,,,,,,
Botswana,Botswana,,,,,,362506.0,,,,,,,,,,,,,,,,
Brasilien,Brésil,,352695.0,,,2005408.0,7142964.0,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,,,,,,,,159417.0,,,,,,,,,,,,,,
Chile,Chili,42981.0,8800.0,,,188632.0,,,,,,,,,,,,,,,,,
Costa Rica,Costa Rica,,,450.0,,,,,,,,,,,,,,,,,,,
Dänemark,Danemark,23960.0,577496.0,14472405.0,,100666.0,1284237.0,,1598500.0,,,,,,,,,,,,,,
Deutschland,Allemagne,4898236.0,4352813.0,33999047.0,213665.0,594048.0,86102920.0,10526.0,3592802.0,,422290.0,,,,,,107904.0,,,,,,
Estland,Estonie,79021.0,,27.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,78759.0,14882.0,,,,775814.0,,,,2104282.0,,,,,,,,,,,,
Frankreich,France,2106843.0,3075576.0,9793761.0,111108.0,121116.0,,,463460.0,,1868776.0,,,,,,131121.0,,,,,,
Griechenland,Grèce,70946.0,734738.0,,,2786904.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,511187.0,1268281.0,33572064.0,4387248.0,563622.0,,,9730081.0,,1086812.0,,,,,,,,,,,,
Indien,Inde,3615915.0,311470.0,8250.0,,2095607.0,,,,,,,,,,,,,,,,,
Indonesien,Indonésie,26610.0,,,,,,,49160.0,,,,,,,,,,,,,,
Irland,Irlande,40808.0,,,,,7229.0,,,,,,,,,,,,,,,,
Island,Islande,2600.0,,,,,,,,,,,,,,,,,,,,,
Italien,Italie,1188817.0,222591.0,15802275.0,,7255611.0,,,761376.0,,,,,,,,87055.0,,,,,,
Japan,Japon,93736.0,10728.0,73296.0,,,,3513.0,,,,,,,,,,,,,,,
Jordanien,Jordanie,100.0,,,,,630000.0,,,,,,,,,,,,,,,,
Kamerun,Cameroun,1110.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,552956.0,2779763.0,9412550.0,,,162728.0,,1161168.0,,93822.0,,,,,,,,,,,,
Kasachstan,Kazakhstan,4085.0,,,,,,,,,,,,,,,,,,,,,
Kosovo,Kosovo,,,13118.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,40206.0,,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,161565.0,,4304544.0,,,,,,,,,,,,,,,,,,,
Libanon,Liban,242633.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,9487.0,,4884.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,135346.0,,406890.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,125677.0,298616.0,4130.0,826.0,795415.0,,,,,,,,,,,,,,,,,
Malta,Malte,7425.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,47209.0,,4936.0,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,1669284.0,5005260.0,1838697.0,,93670.0,6882045.0,,43379.0,,,,,,,,,,,,,,
Norwegen,Norvège,379698.0,1573872.0,4098859.0,113025.0,,510027.0,166.0,630951.0,,,,,,,,,,,,,,
Oman,Oman,,86960.0,5323162.0,,6229.0,,,,,,,,,,,,,,,,,
Österreich,Autriche,396396.0,86320.0,4953761.0,,856661.0,51656.0,,,,,,,,,,,,,,,,
Pakistan,Pakistan,1990.0,363425.0,13595000.0,,41980.0,,,,,,,,,,,,,,,,,
Paraguay,Paraguay,1103.0,,,,,,,,,,,,,,,,,,,,,
Polen,Pologne,292643.0,,395198.0,,,,,5616.0,,,,,,,,,,,,,,
Portugal,Portugal,,34401.0,,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,,,245000.0,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,155291.0,44592.0,,1064852.0,,,,,,,,,,,,,,,,,,
Republik Trinidad und Tobago,République de Trinité-et-Tobago,1202.0,,,,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,90170.0,17420.0,25143.0,,,62250.0,,,,,,,,,,,,,,,,
Russische Föderation,Russie,,,512063.0,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,106495.0,65876203.0,205.0,,66623832.0,3958.0,,,,,,,,,,,,,,,,
Schweden,Suède,1137927.0,528070.0,14476029.0,,1274162.0,1057698.0,,742390.0,,1601436.0,,,,,,,,,,,,
Serbien,Serbie,3111.0,,,,,,,,,,,,,,,,,,,,,
Singapur,Singapour,111675.0,1973655.0,5910372.0,,77512.0,,,1090.0,,,,,,,,,,,,,,
Slowenien,Slovénie,38262.0,5924.0,3762.0,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,19252.0,,88316.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,79657.0,15338267.0,2181220.0,,1271536.0,13739648.0,,639.0,,16851.0,,,,,,,,,,,,
Staat Katar,État du Qatar,515071.0,,,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,27120.0,316930.0,1392379.0,,48058.0,,,121918.0,,,,,,,,,,,,,,
Thailand,Thaïlande,96070.0,14000.0,25200.0,,196410.0,,,,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,68887.0,,15003.0,,,,,762831.0,,,,,,,,,,,,,,
Türkei,Turquie,84724.0,1048805.0,8042305.0,,179532.0,,,330.0,,,,,,,,,,,,,,
Turkmenistan,Turkmenistan,110000.0,,,,,,,,,,,,,,,,,,,,,
Ukraine,Ukraine,310467.0,,10927.0,,,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,2937.0,,121688.0,,,,,,,,,,,,,,,,,,,
Venezuela,Venezuela,,54130.0,,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,1152396.0,5204347.0,344290.0,1829307.0,204901.0,13804.0,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,1031997.0,728852.0,8079958.0,,525350.0,,,635396.0,,16104511.0,,,,,,34725.0,,,,,,
