Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
"Antillen, Niederl.","Antilles, Néerland.",800.0,,,,,,,,,,,,,,,,,,,,,
Australien,Australie,31492.0,,180663.0,,,7245.0,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,,12192074.0,1095000.0,,776016.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,579313.0,,3245409.0,,,121898.0,,814633.0,,918567.0,,,,,,,,,,,,
Bermuda,Bermudes,,,8593.0,,,,,,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,19962.0,5403.0,,,,,,93466.0,,,,,,,,,,,,,,
Brasilien,Brésil,,468544.0,2995804.0,,222440.0,8978144.0,,7825.0,,,,,,,,,,,,,,
Brunei,Brunei,,,366822.0,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,17274.0,,6051.0,,,,,3133177.0,,,,,,,,,,,,,,
Chile,Chili,,311939.0,26370.0,,780490.0,37501.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,15564.0,3126522.0,3356823.0,,246.0,354644.0,,199892.0,,,,,,,,,,,,,,
Deutschland,Allemagne,5499866.0,18746285.0,45478378.0,102168.0,11427283.0,100805321.0,14453.0,3777071.0,,1084310.0,,,,,,63532.0,,,,,,
Estland,Estonie,185106.0,,9426.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,86650.0,866081.0,36104.0,,,310478.0,,,,717859.0,,,,,,,,,,,,
Frankreich,France,1625956.0,2196351.0,4614625.0,255622.0,211870.0,,,1083555.0,,10560066.0,,,,,,163576.0,,,,,,
Franz. Polynesien,Polynésie française,10136.0,,,,,,,,,,,,,,,,,,,,,
Georgien,Géorgie,4185.0,,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,32562.0,180232.0,,,1840354.0,3538.0,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,322563.0,14737382.0,220616.0,,1483809.0,6651.0,10937.0,3195985.0,,884097.0,,,,,,,,,,,,
Hongkong,Hong-Kong,4839.0,,37000.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,26626.0,,,,2156972.0,,,,,5626.0,,,,,,,,,,,,
Indonesien,Indonésie,1950245.0,57030063.0,4903179.0,,57589403.0,,,,,,,,,,,,,,,,,
Irland,Irlande,4920.0,,,,,95791.0,,,,,,,,,,,,,,,,
Island,Islande,2730.0,2741.0,,,,,,,,,,,,,,,,,,,,
Israel,Israël,,,,,,,,,,126066.0,,,,,,,,,,,,
Italien,Italie,1496858.0,19613574.0,5859141.0,,21993921.0,,,391390.0,,5398.0,,,,,,9540.0,,,,,,
Japan,Japon,1083.0,,440822.0,,,,148945.0,,,,,,,,,,,,,,,
Jordanien,Jordanie,402589.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,1219232.0,,87705.0,,,199682.0,,,,239641.0,,,,,,,,,,,,
Kasachstan,Kazakhstan,544000.0,,18300.0,,,,,,,,,,,,,,,,,,,
Kenia,Kenya,109044.0,,3500.0,,,,,,,,,,,,,,,,,,,
Kosovo,Kosovo,,,33500.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,,,72424.0,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,41794.0,,24681.0,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,,,4532.0,,,,,,,,,,,,,,,,,,,
Libanon,Liban,944860.0,9572.0,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,64740.0,,,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,56451.0,594.0,108958.0,,,47370.0,,,,,,,,,,,,,,,,
Malaysia,Malaisie,51627.0,,6.0,,100500.0,,,909432.0,,,,,,,,,,,,,,
Malta,Malte,87440.0,,74423.0,,,,,,,,,,,,,,,,,,,
Mauretanien,Mauritanie,10.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,64439.0,,2000.0,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,175066.0,613076.0,178920.0,,249000.0,3144688.0,,111728.0,,,,,,,,,,,,,,
Norwegen,Norvège,63550.0,38000.0,720106.0,132119.0,,4193566.0,,402714.0,,,,,,,,,,,,,,
Oman,Oman,13288.0,,1047336.0,,,40373.0,,,,,,,,,,,,,,,,
Österreich,Autriche,220943.0,11177.0,4527159.0,,456974.0,2550.0,,88344.0,,,,,,,,,,,,,,
Pakistan,Pakistan,,626425.0,,,1740243.0,,,,,,,,,,,,,,,,,
Paraguay,Paraguay,,,381860.0,,,,,,,,,,,,,,,,,,,
Polen,Pologne,684287.0,,329829.0,,,19000.0,,78696.0,,,,,,,,,,,,,,
Portugal,Portugal,,,6408.0,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,9245.0,2587.0,,,2635.0,,,,,,,,,,,,,,,,,
