Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Argentinien,Argentine,,136246.0,,,313521.0,,,,,,,,,,,,,,,,,
Australien,Australie,36111.0,,148452.0,,,220000.0,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,,216215.0,,,277761.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,1033414.0,,1227574.0,,,149839.0,,352357.0,,542800.0,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,1513.0,,6384.0,,,,,,,,,,,,,,,,,,,
Brasilien,Brésil,,,3700.0,,7368757.0,40630.0,,243096.0,,,,,,,,,,,,,,
Brunei,Brunei,,,114000.0,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,,,3500.0,,,5600.0,,4398592.0,,,,,,,,,,,,,,
Chile,Chili,,114347.0,530794.0,,2938294.0,53448.0,,,,51.0,,,,,,,,,,,,
Dänemark,Danemark,7065.0,17555352.0,2469234.0,,22077.0,760332.0,,184653.0,,,,,,,,,,,,,,
Deutschland,Allemagne,5390126.0,15417460.0,52907115.0,84952.0,571998.0,14206608.0,28503.0,3338591.0,,1206235.0,,,,,,2662.0,,,,,,
Estland,Estonie,51568.0,,1049021.0,,,,,8.0,,,,,,,,,,,,,,
Finnland,Finlande,119170.0,102846.0,8736.0,,,20199.0,,,,103022.0,,,,,,,,,,,,
Frankreich,France,2828535.0,3363270.0,6902390.0,739971.0,172050.0,76705.0,,407363.0,,2835357.0,,,,,,,,,,,,
Georgien,Géorgie,2940.0,,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,3240.0,309.0,5.0,,3750.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,132605.0,23000.0,12893703.0,,668560.0,185575.0,3960.0,2204961.0,,1122408.0,,,,,,,,,,,,
Hongkong,Hong-Kong,1390.0,,,,,,,,,,,,,,,,,,,,,
Indien,Inde,310940.0,,,,34277117.0,,,,,,,,,,,,,,,,,
Indonesien,Indonésie,,211303.0,3202888.0,,779766.0,,,,,220.0,,,,,,,,,,,,
Irland,Irlande,221708.0,,,,,,,,,,,,,,,,,,,,,
Island,Islande,2569.0,2400.0,,,,,,,,,,,,,,,,,,,,
Israel,Israël,,,,,95000.0,59873.0,,,,,,,,,,,,,,,,
Italien,Italie,605671.0,21292.0,882629.0,,5446895.0,,,353361.0,,,,,,,,4620.0,,,,,,
Japan,Japon,37800.0,,465931.0,,,,,,,,,,,,,,,,,,,
Jordanien,Jordanie,28588.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,1555615.0,,80225.0,,,94762.0,,,,172042.0,,,,,,,,,,,,
Kenia,Kenya,3704.0,,,,,,,,,,,,,,,,,,,,,
Kolumbien,Columbie,,,,,,,,,,142889.0,,,,,,,,,,,,
Kroatien,Croatie,79.0,,15451.0,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,125349.0,100000.0,400.0,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,18188.0,,52613.0,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,17824.0,,153569.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,48138.0,,251472.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,16882.0,,9241222.0,,54000.0,,,,,,,,,,,,,,,,,
Mali,Mali,750.0,,,,,,,,,,,,,,,,,,,,,
Malta,Malte,16470.0,,,,,,,,,,,,,,,,,,,,,
Mexiko,Mexico,47500.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,10202.0,4164.0,300.0,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,381284.0,58000.0,3072247.0,,,780853.0,,165.0,,,,,,,,,,,,,,
Norwegen,Norvège,150992.0,,5389961.0,,77356.0,2324550.0,,941539.0,,,,,,,,,,,,,,
Oman,Oman,15956.0,59407.0,2501884.0,,20470.0,1835.0,,,,,,,,,,,,,,,,
Österreich,Autriche,266294.0,60267.0,2807867.0,3275.0,12148.0,30855.0,,,,,,,,,,,,,,,,
Pakistan,Pakistan,,24407219.0,,,1117805.0,,,,,,,,,,,,,,,,,
Paraguay,Paraguay,,,161955.0,,,,,,,,,,,,,,,,,,,
Philippinen,Philippines,1852.0,,,,,,,,,,,,,,,,,,,,,
Polen,Pologne,463899.0,,32846.0,,,,,64692.0,,,,,,,,,,,,,,
Portugal,Portugal,17714.0,,18468.0,,,,3366.0,,,,,,,,,,,,,,,
Republik Korea,République de Corée,121621.0,167746.0,381703.0,,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,,118443.0,,,61320.0,81800.0,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,887337.0,,,11267700.0,,,,,,,,,,,,,,,,,
Schweden,Suède,387555.0,441154.0,12793251.0,797366.0,1345215.0,,,1542926.0,,568238.0,,,,,,,,,,,,
Serbien,Serbie,6478.0,2259.0,38.0,,,,,3057.0,,86710.0,,,,,,,,,,,,
Singapur,Singapour,251138.0,15307.0,5082377.0,,7500.0,112880.0,27477.0,1435.0,,,,,,,,,,,,,,
Slowakische Republik,Slovaquie,1662633.0,64721.0,307938.0,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,2808.0,,,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,55439.0,,52500.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,43304.0,1418862.0,1122591.0,,122935.0,3478751.0,,25484.0,,458565.0,,,,,,,,,,,,
Staat Katar,État du Qatar,169774.0,,,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,182144.0,2341844.0,159229.0,,47373514.0,,,1251830.0,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,1470185.0,48730.0,286604.0,22567.0,,5314.0,,,,,,,,,,,,,,,,
Tunesien,Tunisie,,,7200.0,,,,,,,,,,,,,,,,,,,
Türkei,Turquie,,22000.0,,,25140.0,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,236983.0,,1501706.0,5210.0,,,,137187.0,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,52355.0,1238907.0,,,603121.0,1692087.0,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,3446744.0,36507.0,9322963.0,,21325.0,69460.0,4145.0,2475092.0,,16417263.0,,,,,,281554.0,,,,,,
Vietnam,Vietnam,333405.0,,,,,,,,,,,,,,,,,,,,,
Volksrepublik Bangladesch,République populaire du Bangladesh,800.0,,20.0,,,,,,,,,,,,,,,,,,,
Volksrepublik China,République populaire de Chine,181372.0,,,,,,,,,,,,,,,,,,,,,
