Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Neuseeland,Nouvelle-Zélande,135254.0,,,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,324024.0,55650.0,30500.0,3606.0,144072.0,575510.0,,13444.0,,,,,,,,,,,,,,
Norwegen,Norvège,174851.0,9996.0,6352045.0,,2808.0,1413853.0,,3331495.0,,,,,,,,,,,,,,
Oman,Oman,8200.0,38421.0,4169135.0,,3372555.0,45055.0,,1188.0,,,,,,,,,,,,,,
Österreich,Autriche,1026114.0,10000.0,6571595.0,,,86672.0,,4932.0,,,,,,,,,,,,,,
Pakistan,Pakistan,,4199742.0,195000.0,,2241762.0,,,,,,,,,,,,,,,,,
Paraguay,Paraguay,,,14256.0,,,,,,,,,,,,,,,,,,,
Polen,Pologne,391789.0,180775.0,235925.0,,,,,75199.0,,,,,,,,,,,,,,
Portugal,Portugal,37845.0,,31320.0,,,,,,,,,,,,,,,,,,,
Republik Albanien,République d’Albanie,,,77609.0,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,11608.0,653997.0,81805.0,,,,,8208.0,,,,,,,,,,,,,,
Rumänien,Roumanie,,,27323.0,,101541.0,688554.0,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,903920.0,75480.0,,3797964.0,,,,,,,,,,,,,,,,,
Schweden,Suède,427276.0,86430.0,8243346.0,855160.0,556904.0,47518.0,,561500.0,,1893451.0,,,,,,,,,,,,
Singapur,Singapour,10589.0,22694.0,2685922.0,,109159.0,214849.0,,103043.0,,,,,,,,,,,,,,
Slowakische Republik,Slovaquie,127642.0,19907.0,12111.0,,,,,23598.0,,,,,,,,,,,,,,
Slowenien,Slovénie,13115.0,,,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,3930.0,,,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,20076.0,2821594.0,778638.0,,780042.0,4905195.0,,44428.0,,331779.0,,,,,,,,,,,,
Staat Katar,État du Qatar,88381.0,,,,,140000.0,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,54765.0,5710300.0,297588.0,,26184741.0,,,430690.0,,,,,,,,,,,,,,
Thailand,Thaïlande,,,1594114.0,,86055766.0,,,,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,1030533.0,50419.0,522215.0,53856.0,1620.0,22081.0,,32291.0,,,,,,,,,,,,,,
Türkei,Turquie,2786.0,56247.0,,,584868.0,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,299129.0,,5835662.0,,,,,244826.0,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,396201.0,959764.0,,,1281094.0,575683.0,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,4284135.0,97894.0,8487160.0,,831913.0,,450.0,931061.0,,12970227.0,,,,,,,,,,,,
Volksrepublik China,République populaire de Chine,344146.0,,,,,,,,,,,,,,,,,,,,,
