Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Aruba,Aruba,7720.0,,,,,,,,,,,,,,,,,,,,,
Australien,Australie,38376.0,,13670.0,,,49361.0,,3930.0,,,,,,,,,,,,,,
Bahrain,Bahreïn,20436.0,136388.0,308.0,,263650.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,392066.0,,1065999.0,,,126288.0,,85196.0,,1082883.0,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,23997.0,1124.0,3473.0,,,,,,,,,,,,,,,,,,,
Brasilien,Brésil,,13410.0,,,32881593.0,,,25900.0,,,,,,,,,,,,,,
Bulgarien,Bulgarie,,,95248.0,,,,,5968184.0,,,,,,,,,,,,,,
Chile,Chili,9734.0,200049.0,,,39085.0,18473.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,15189.0,1468771.0,766384.0,,,2807838.0,,180110.0,,,,,,,,,,,,,,
Deutschland,Allemagne,8203497.0,16030288.0,78299987.0,99444.0,1746433.0,8925817.0,1371.0,3300492.0,,1098378.0,,,,,,3364.0,,,,,,
Estland,Estonie,35430.0,,363858.0,,,,,4222484.0,,,,,,,,,,,,,,
Finnland,Finlande,94364.0,119279.0,14306.0,,,,,,,233400.0,,,,,,,,,,,,
Frankreich,France,2099515.0,1261295.0,3898591.0,134431.0,,442000.0,1678.0,222937.0,,3437006.0,,,,,,,,,,,,
Georgien,Géorgie,2424.0,,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,1985.0,,,,,,,76562.0,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,108985.0,,1705736.0,16290.0,214504.0,385000.0,,1696582.0,,157117.0,,,,,,,,,,,,
Hongkong,Hong-Kong,8423.0,,500.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,55491.0,,,,8888226.0,,,,,,,,,,,,,,,,,
Indonesien,Indonésie,,179045.0,48.0,,99080.0,,,,,57241.0,,,,,,,,,,,,
Irland,Irlande,56465.0,33832.0,,,,,,,,5539750.0,,,,,,,,,,,,
Island,Islande,7176.0,,1405.0,,,,,,,,,,,,,,,,,,,
Israel,Israël,,,,,,6888.0,,,,,,,,,,,,,,,,
Italien,Italie,862085.0,165712.0,905943.0,,5527497.0,,,829973.0,,2640.0,,,,,,12200.0,,,,,,
Japan,Japon,25325.0,,111663.0,,,,,,,,,,,,,,,,,,,
Jordanien,Jordanie,,,,,,,,,,4439.0,,,,,,,,,,,,
Kanada,Canada,1050492.0,14961.0,67760.0,1388490.0,,404604.0,,,,339494.0,,,,,,,,,,,,
Kosovo,Kosovo,,,17851.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,6058.0,,16195.0,,,,,1183200.0,,,,,,,,,,,,,,
Kuwait,Koweït,93864.0,,,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,11875.0,,37110.0,,,,,,,,,,,,,,,,,,,
Libanon,Liban,86416.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,784178.0,22000.0,333262.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,27534.0,,221506.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,,32025.0,2192200.0,,474104.0,,,46500.0,,,,,,,,,,,,,,
Malta,Malte,31480.0,1000.0,,,,,,,,,,,,,,,,,,,,
