Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Niederlande,Pays-Bas,108462.0,1901456.0,1503755.0,,,2816160.0,,171.0,,542455.0,,,,,,8220.0,,,,,,
Norwegen,Norvège,103179.0,681768.0,6542328.0,112595.0,,1032250.0,,763524.0,,,,,,,,,,,,,,
Oman,Oman,,24187.0,815800.0,,,,,,,,,,,,,,,,,,,
Österreich,Autriche,429026.0,90172.0,382037.0,,3035079.0,62020.0,,1762.0,,,,,,,,,,,,,,
Pakistan,Pakistan,,,,,769846.0,,,,,,,,,,,,,,,,,
Polen,Pologne,32613.0,,12045.0,,,,,38888.0,,,,,,,,,,,,,,
Portugal,Portugal,,,67560.0,,,,,,,,,,,,,,,,,,,
Republik Ecuador,République de l'Équateur,1066.0,,81090.0,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,1921.0,802347.0,707579.0,3415928.0,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,,40975.0,180073.0,,,,,,,,,,,,,,,,,,,
Russische Föderation,Russie,180073.0,,432725.0,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,906.0,4265803.0,3400000.0,,14230435.0,,,,,,,,,,,,,,,,,
Schweden,Suède,155482.0,1460480.0,8822250.0,450661.0,2091989.0,1725915.0,,1691556.0,,824960.0,,,,,,177861.0,,,,,,
Serbien,Serbie,,,,,,,,,,70257.0,,,,,,,,,,,,
Seychellen,Seychelles,,,24138.0,,,,,,,,,,,,,,,,,,,
Singapur,Singapour,157536.0,107730.0,7437062.0,,322978.0,114610.0,,2406118.0,,1300.0,,,,,,,,,,,,
Slowakische Republik,Slovaquie,11889.0,,8058.0,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,19031.0,,,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,45476.0,,572021.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,59604.0,1218672.0,1256485.0,,302315.0,15735647.0,,56480.0,,623011.0,,,,,,,,,,,,
Staat Katar,État du Qatar,,,19258.0,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,,71010.0,56550.0,,,,,1669630.0,,,,,,,,,,,,,,
Thailand,Thaïlande,,,,,458390.0,,,,,15084.0,,,,,,,,,,,,
Tschechische Republik,République tchèque,399546.0,3738.0,74219.0,,,36000.0,,,,,,,,,,,,,,,,
Türkei,Turquie,108152.0,3038518.0,142507.0,,825323.0,,,,,,,,,,,,,,,,,
Ukraine,Ukraine,168523.0,,13924.0,,,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,76710.0,3833.0,1577447.0,,,,,30188.0,,,,,,,,,,,,,,
Venezuela,Venezuela,,338.0,,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,264953.0,524973.0,8224635.0,,1142790.0,35905.0,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,6783817.0,6971.0,9358619.0,,69061.0,40608.0,64901.0,1239018.0,,24986562.0,,,,,,1230549.0,,,,,,
Vietnam,Vietnam,692.0,,340.0,,,,,,,,,,,,,,,,,,,
