Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Argentinien,Argentine,,,,,258160.0,,,,,,,,,,,,,,,,,
Australien,Australie,53762.0,,2296407.0,,,,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,,,,,3774000.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,392724.0,21845.0,1337611.0,,,485134.0,,226010.0,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,29598.0,,28388.0,,,,,127394.0,,,,,,,,,,,,,,
Brasilien,Brésil,,215672.0,,,617160.0,9721028.0,,196000.0,,,,,,,,,,,,,,
Brunei,Brunei,104402.0,,179700.0,,,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,,,,,,,,1002515.0,,,,,,,,,,,,,,
Chile,Chili,2390.0,31626.0,93802.0,,215349.0,20556.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,2100.0,1416056.0,3437410.0,,111847.0,3158127.0,,469247.0,,,,,,,,,,,,,,
Deutschland,Allemagne,4262077.0,9103227.0,67606371.0,151177.0,12901737.0,23218815.0,8368.0,6001644.0,,203371.0,,,,,,47518.0,,,,,,
Estland,Estonie,276721.0,,454552.0,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,193417.0,503756.0,334561.0,,,1191800.0,,16578.0,,242119.0,,,,,,189251.0,,,,,,
Frankreich,France,1201033.0,4513864.0,12452048.0,82298.0,196333.0,9646.0,,1192943.0,,7872414.0,,,,,,26947.0,,,,,,
Ghana,Ghana,,50000.0,,,,,,,,,,,,,,,,,,,,
Griechenland,Grèce,6330.0,70839.0,25200.0,,335137.0,,,,,,,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,433385.0,16443529.0,5198857.0,6781483.0,2154895.0,,,6571358.0,,498530.0,,,,,,,,,,,,
Hongkong,Hong-Kong,44776.0,,600.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,3811923.0,,312424.0,,972317.0,,,,,44056.0,,,,,,,,,,,,
Indonesien,Indonésie,26674.0,,130841.0,,,,,,,,,,,,,,,,,,,
Irland,Irlande,,,3894.0,,,,,,,,,,,,,,,,,,,
Israel,Israël,,,,,,2400.0,,,,47244.0,,,,,,,,,,,,
Italien,Italie,617775.0,22526587.0,12069890.0,,23167157.0,,,454185.0,,,,,,,,19110.0,,,,,,
Japan,Japon,73915.0,11268.0,337535.0,,,,102825.0,,,,,,,,,,,,,,,
Jordanien,Jordanie,179560.0,,233646.0,,,,,,,,,,,,,,,,,,,
Kanada,Canada,991828.0,2379.0,103666.0,,,2825924.0,,,,266054.0,,,,,,,,,,,,
Kenia,Kenya,138134.0,,49711.0,,,,,,,,,,,,,,,,,,,
Kosovo,Kosovo,,,72917.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,16103.0,,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,26466.0,109500.0,,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,2247.0,,,,,,,,,,,,,,,,,,,,,
Libanon,Liban,473752.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,7652.0,,,,,,,300.0,,,,,,,,,,,,,,
Luxemburg,Luxembourg,2422.0,,118085.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,56418.0,,199245.0,,220765.0,,,,,,,,,,,,,,,,,
Mali,Mali,883.0,,,,,,,,,,,,,,,,,,,,,
Malta,Malte,7611.0,,,,,,,,,,,,,,,,,,,,,
Mexiko,Mexico,763388.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,67354.0,120.0,,,,,,,,,,,,,,,,,,,,
