Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Portugal,Portugal,,,155934.0,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,22660.0,,,,,,,,,,,,,,,,,,,,,
Rumänien,Roumanie,178396.0,95908.0,,,5345.0,,,,,17200.0,,,,,,,,,,,,
San Marino,Saint-Marin,16274.0,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,280769.0,136618.0,,,1315834.0,,,,,,,,,,,,,,,,,
Schweden,Suède,175954.0,1387300.0,4106517.0,,2302972.0,3678732.0,,329249.0,,,,,,,,,,,,,,
Singapur,Singapour,475260.0,2766926.0,546329.0,,145442.0,,,210400.0,,,,,,,,23927.0,,,,,,
Slowakische Republik,Slovaquie,16868.0,,,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,12890.0,,21548.0,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,91498.0,,,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,27286.0,4752187.0,6563264.0,25974.0,6277872.0,675331.0,8000.0,605368.0,,,,,,,,10413.0,,,,,,
Staat Katar,État du Qatar,12600.0,,,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,10250.0,76000.0,149160.0,,,,,123859.0,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,98575.0,,46826.0,,,,,,,,,,,,,,,,,,,
Türkei,Turquie,41720.0,,,,966894.0,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,5260.0,8480.0,,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,121226.0,284870.0,,,238745.0,,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,2118347.0,1979729.0,1959761.0,,292000.0,188574.0,,66052.0,,46059403.0,,,,,,9164.0,,,,,,
