Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Ägypten,Egypte,2165797.0,1061000.0,,,,,,,,,,,,,,,,,,,,
Argentinien,Argentine,2300.0,46680.0,,,,,,,,,,,,,,,,,,,,
Australien,Australie,9083.0,,1525667.0,,,,,,,1561.0,,,,,,,,,,,,
Bahrain,Bahreïn,,311912.0,1165000.0,,8471.0,,,,,,,,,,,,,,,,,
Belgien,Belgique,318564.0,3195.0,5349823.0,,,,,41260.0,,188831.0,,,,,,,,,,,,
Benin,Bnin,2452.0,,,,,,,,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,13700.0,,5380.0,,,,,,,,,,,,,,,,,,,
Botswana,Botswana,,,,,,791619.0,,,,,,,,,,,,,,,,
Brasilien,Brésil,,,,,381998.0,,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,5000.0,,836159.0,,,,,,,,,,,,,,,,,,,
Chile,Chili,44113.0,,2409708.0,,,32943736.0,,,,2570.0,,,,,,,,,,,,
Dänemark,Danemark,61812.0,,7695115.0,,,92814715.0,,214217.0,,,,,,,,,,,,,,
Deutschland,Allemagne,6086157.0,14843483.0,19935975.0,314369.0,531840.0,10667089.0,88280.0,2242842.0,,379431.0,,,,,,575456.0,,,,,,
Estland,Estonie,452751.0,,,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,110252.0,303878.0,26184.0,,,12860854.0,,,,,,,,,,,,,,,,
Frankreich,France,1152800.0,5024844.0,5264080.0,,519427.0,483752.0,,10000.0,,6219837.0,,,,,,,,,,,,
Griechenland,Grèce,19960.0,6991139.0,40395.0,,824423.0,280987.0,,,,,,,,,,130284.0,,,,,,
Grossbritannien,Grande-Bretagne,544159.0,1484177.0,1447112.0,,715495.0,20000.0,,9013508.0,,1058126.0,,,,,,,,,,,,
Guinea-Bissau,Guine Bissau,3510.0,,,,,,,,,,,,,,,,,,,,,
Hongkong,Hong-Kong,215.0,,16377.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,,,,,3104643.0,,,,,,,,,,,,,,,,,
Irland,Irlande,22248.0,509685.0,,,,3525335.0,,,,,,,,,,,,,,,,
Island,Islande,7980.0,,,,,,,,,,,,,,,,,,,,,
Italien,Italie,1161990.0,443338.0,716976.0,,4621330.0,2332091.0,,26154.0,,,,,,,,,,,,,,
Japan,Japon,308436.0,61560.0,277418.0,,,,,,,,,,,,,,,,,,,
Jordanien,Jordanie,19330.0,,,,,139860.0,,,,,,,,,,,,,,,,
Kamerun,Cameroun,1530.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,338343.0,,34354.0,,,137123.0,,,,236124.0,,,,,,,,,,,,
Kroatien,Croatie,13809.0,,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,252995.0,,1826896.0,,,,,,,,,,,,,,,,,,,
Lettland,Lettonie,38230.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,26540.0,,6222.0,,,,89696.0,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,134010.0,,120675.0,509698.0,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,,1323265.0,2932669.0,,675760.0,,,512600.0,,,,,,,,,,,,,,
Namibia,Namibie,,,550.0,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,54296.0,,50.0,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,543533.0,274772.0,7712515.0,2087139.0,,743527.0,,12517.0,,466577.0,,,,,,,,,,,,
Niger,Niger,13361.0,,,,,,,,,,,,,,,,,,,,,
Norwegen,Norvège,338544.0,,1208478.0,,,2581.0,,,,255000.0,,,,,,,,,,,,
Oman,Oman,6204.0,115932.0,,,118917.0,,,,,,,,,,,,,,,,,
Österreich,Autriche,201128.0,1196620.0,335449.0,,,311556.0,,,,177247.0,,,,,,,,,,,,
Polen,Pologne,179957.0,,1254831.0,,,,,,,,,,,,,,,,,,,
