Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM10,KM11,KM13,KM16
Belgien,Belgique,130708,25000,3782495,,,7259622,,418539,249440,,4412,
Bulgarien,Bulgarie,,,,,,,,1275826,,,,
Dänemark,Danemark,803,277936,121686,,2657,25509442,,42818,,,10162,
Deutschland,Allemagne,4768373,4559030,27467861,481067,4522667,6048345,461,2546737,198019,18081,24769,146040
Estland,Estonie,27486,,2790360,,,,,15,,,,
Finnland,Finlande,34246,,12716,,,66998,,,2591344,,,
Frankreich (mit Monaco),France (comprend Monaco),838224,,2004024,1565008,540000,76818,,1705055,1679999,,,
Griechenland,Grèce,3756,,,,,,,,,,,
Grossbritannien,Grande-Bretagne,121469,,136502,2391606,292321,,,1476274,60505,,,
Irland,Irlande,1198,44000,,,,8384740,,,99608,,,
Island,Islande,2955,,,,,,,,,,,
Italien,Italie,452077,464275,562317,,7235247,,,835473,,,,112
Kosovo,Kosovo,,,5920,,,,,,,,,
Kroatien,Croatie,16561,,,,,,,,,,,
Litauen,Lituanie,17356,,2682333,,,,,,,,,
Luxemburg,Luxembourg,8884,,,,,,,,,,,
Malta,Malte,18407,,,,,,,,,,,
Niederlande,Pays-Bas,101925,463296,3587392,,,288691,,7454,,,,
Norwegen,Norvège,57435,,1885986,,819000,,,1539640,,178978,,
Österreich,Autriche,897975,3323680,1327248,3774,1550000,,,,,,,
Polen,Pologne,142397,,19656,,,,,66468,,,,
Portugal,Portugal,5282,,,,,,,,,,,
Rumänien,Roumanie,262,,,,,73046043,,6707,,,,
Schweden,Suède,982180,169971,24684,1158750,500000,142045,,1101026,689030,,,
Serbien,Serbie,,,,,,,,299716,268154,,,
Slowakische Republik,"Slovaquie, République",,116019,114669,,,,,3238,,,,
Slowenien,Slovénie,28409,,5966,,,,,,,,,
Spanien,Espagne,58505,4966667,6720046,,291444,11530,,,22102,,,
Tschechische Republik,"Tchèque, République",820550,2656,,10501,9862,,,31208,,,,
Ungarn,Hongrie,8372,,2736868,,,,,,,,,
Vatikan,Vatican,16225,,773,,,,,,,,,
Zypern,Chypre,8876,,,,,,,,,,,
Botswana,Botswana,,,,,,34749625,,,,,,
Djibouti,Djibouti,,458800,,,,,,,,,,
Südafrika,Afrique du Sud,,722817,14400,,709,,,,,,,
Tunesien,Tunisie,,,,,,,,,2290199,,,
Brasilien,Brésil,,1139400,,,,,,,868504,,,
Kanada,Canada,1021228,20196,52637,,,76613,,,1287330,,,
Mexiko,Mexique,,,,,,,,,6400,,,
Uruguay,Uruguay,4133,,,,,,,,,,,
Vereinigte Staaten von Amerika,Etats-Unis d'Amérique,14942202,39579,15929951,,52082,1639,505,968846,8152955,,,29958
Bahrain,Bahrain,5160,,,,224025,,,,1721317,,,
Bangladesch,Bangladesh,,182449,,,241074,,,,,,,
Indien,Inde,4,,,,,,,,,,,
Indonesien,Indonésie,347,79457,,,152692,,,,,,,
Israel,Israël,,,,,1139000,51140,,,,,,
Japan,Japon,22833,,,,,,,,,,,
Jordanien,Jordanie,400,,,,,,,,,,,
"Korea, Republik (Südkorea)","Corée, République (Corée du Sud)",,254850,46691,,,,,,,,,
Kuwait,Koweït,7245,,,,,,,,,,,
Macao,Macao,13290,,14856,,,,,,,,,
Malaysia,Malaisie,,,,,,,,,3447812,,,
Oman,Oman,2900,52223,14946,,120977,,,,,,,
Pakistan,Pakistan,,260868,,,1172291,,,,,,,
Qatar,Qatar,22928,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,,509018,538272,,17455604,,,,,,,
Singapur,Singapour,9100,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats Arabes Unis,13850,1010858,,,3018303,,,,,,,
Australien,Australie,53951,3663,2359821,,,,,,,,,
Neukaledonien,Nouvelle-Calédonie,991,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,7506,,,,,,,,,,,
