Land,Pays,KM1,KM2,KM3,KM4,KM5,KM6,KM7,KM8,KM9,KM10,KM11,KM12,KM13,KM14,KM15,KM16,KM17,KM18,KM19,K20,KM21,KM22
Ägypten,Egypte,1066229.0,,,,,,,,,,,,,,,,,,,,,
Argentinien,Argentine,,623668.0,,,24380.0,,,,,,,,,,,,,,,,,
Australien,Australie,43199.0,,2094886.0,,,9500.0,,,,,,,,,,,,,,,,
Bahrain,Bahreïn,12804.0,260078.0,,,,,,,,,,,,,,,,,,,,
Barbados,Barbade,19116.0,,,,,,,,,,,,,,,,,,,,,
Belgien,Belgique,300229.0,913770.0,3966304.0,,,,,375527.0,,,,,,,,,,,,,,
Bosnien und Herzegowina,Bosnie-Herzégovine,31500.0,,500.0,,,,,,,,,,,,,,,,,,,
Brasilien,Brésil,,2232.0,,,13086.0,12512685.0,,,,,,,,,,,,,,,,
Bulgarien,Bulgarie,47627.0,,,,,,,,,,,,,,,,,,,,,
Chile,Chili,,219366.0,194432.0,,,2770139.0,,,,,,,,,,,,,,,,
Dänemark,Danemark,25351.0,11788307.0,5596382.0,,5834848.0,18066354.0,,721361.0,,,,,,,,,,,,,,
Deutschland,Allemagne,4969896.0,11921930.0,28341760.0,238217.0,614076.0,11736064.0,1991.0,2859034.0,,384388.0,,,,,,678928.0,,,,,,
Estland,Estonie,5639.0,,,,,,,,,,,,,,,,,,,,,
Finnland,Finlande,86949.0,612001.0,27640.0,,,15487387.0,,96762.0,,,,,,,,,,,,,,
Frankreich,France,1020111.0,2992946.0,7225641.0,77952.0,170000.0,121300.0,,442783.0,,6490425.0,,,,,,,,,,,,
Griechenland,Grèce,14870.0,6513848.0,629000.0,,10709359.0,78086.0,,,,,,,,,,48077.0,,,,,,
Grossbritannien,Grande-Bretagne,737382.0,1721069.0,24722745.0,,216212.0,,,10461958.0,,1660439.0,,,,,,,,,,,,
Hongkong,Hong-Kong,44300.0,,480.0,,,,,,,,,,,,,,,,,,,
Indien,Inde,,10000.0,,,2057266.0,,,,,,,,,,,,,,,,,
Irland,Irlande,25478.0,,12223.0,,,50643481.0,,,,,,,,,,,,,,,,
Island,Islande,4446.0,,,,,,,,,,,,,,,,,,,,,
Italien,Italie,785891.0,2473084.0,1656300.0,,12232146.0,54275.0,,,,,,,,,,,,,,,,
Japan,Japon,7800.0,,149255.0,,,,,,,,,,,,,,,,,,,
Jordanien,Jordanie,96294.0,,,,,,,,,,,,,,,,,,,,,
Kanada,Canada,403020.0,,9490.0,,119000.0,713068.0,,,,154373.0,,,,,,,,,,,,
Kasachstan,Kazakhstan,327376.0,,26260.0,,,,,,,,,,,,,,,,,,,
Kenia,Kenya,,,3600.0,,,,,,,,,,,,,,,,,,,
Kroatien,Croatie,19900.0,,,,,,,,,,,,,,,,,,,,,
Kuwait,Koweït,176163.0,,,,,,,,,,,,,,,,,,,,,
Libanon,Liban,9270.0,,,,,,,,,,,,,,,,,,,,,
Litauen,Lituanie,26777.0,,34860.0,,,,,,,,,,,,,,,,,,,
Luxemburg,Luxembourg,85648.0,,161380.0,,,,,,,,,,,,,,,,,,,
Malaysia,Malaisie,137673.0,6973.0,3630956.0,,3114506.0,,,844392.0,,,,,,,,,,,,,,
Malta,Malte,6905.0,,,,,,,,,,,,,,,,,,,,,
Neuseeland,Nouvelle-Zélande,42773.0,,,,,,,,,,,,,,,,,,,,,
Niederlande,Pays-Bas,691342.0,4479845.0,16825120.0,,,4867416.0,,30700.0,,282807.0,,,,,,4909.0,,,,,,
Niger,Niger,3165.0,,,,,,,,,,,,,,,,,,,,,
Norwegen,Norvège,1158911.0,,4671442.0,,,142486.0,,823278.0,,,,,,,,,,,,,,
Oman,Oman,,28650.0,471399.0,,56770.0,,,,,,,,,,,,,,,,,
Österreich,Autriche,691508.0,1703659.0,3134189.0,,114030.0,296893.0,,211179.0,,,,,,,,,,,,,,
Pakistan,Pakistan,1215.0,30653160.0,,,6877702.0,,,,,,,,,,,,,,,,,
Polen,Pologne,211578.0,,5777060.0,,,,,,,,,,,,,,,,,,,
Portugal,Portugal,67819.0,,,,,,,,,,,,,,,,,,,,,
Republik Korea,République de Corée,,,,,,,,1031280.0,,,,,,,,,,,,,,
Rumänien,Roumanie,602894.0,30115.0,37000.0,,,,,,,6883.0,,,,,,,,,,,,
Russische Föderation,Russie,28178.0,,3029.0,,,,,,,,,,,,,,,,,,,
San Marino,Saint-Marin,9755.0,,,,,,,,,,,,,,,,,,,,,
Saudi-Arabien,Arabie Saoudite,131500.0,10630.0,,,343164.0,,,,,,,,,,,,,,,,,
Schweden,Suède,580483.0,2586720.0,3295214.0,,1174848.0,4434256.0,10400.0,414462.0,,946505.0,,,,,,,,,,,,
Singapur,Singapour,9418.0,90231.0,800004.0,,246561.0,,,227400.0,,,,,,,,5874.0,,,,,,
Slowakische Republik,Slovaquie,93301.0,,,,,,,,,,,,,,,,,,,,,
Slowenien,Slovénie,22213.0,,,,,,,,,,,,,,,,,,,,,
Sonderverwaltungszone Macau der Volksrepublik China,Région administrative spéciale de Macao de la République populaire de Chine,82250.0,,191341.0,,,,,,,,,,,,,,,,,,,
Spanien,Espagne,120415.0,2682953.0,4254423.0,22373.0,1135551.0,465970.0,,184000.0,,,,,,,,21088.0,,,,,,
Staat Katar,État du Qatar,61734.0,,,,,,,,,,,,,,,,,,,,,
Südafrika,Afrique du Sud,36108.0,357890.0,482713.0,,,,,,,188760.0,,,,,,,,,,,,
Thailand,Thaïlande,8600.0,,,,47440.0,,,,,,,,,,,,,,,,,
Tschechische Republik,République tchèque,217388.0,,240104.0,,,,,,,5294.0,,,,,,,,,,,,
Türkei,Turquie,43202.0,,,,,,,,,,,,,,,,,,,,,
Ukraine,Ukraine,72700.0,,5587.0,,,,,,,,,,,,,,,,,,,
Ungarn,Hongrie,173616.0,,,,,,31686.0,,,,,,,,,,,,,,,
Uruguay,Uruguay,,,960.0,,,,,,,,,,,,,,,,,,,
Venezuela,Venezuela,10000.0,,,,,,,,,,,,,,,,,,,,,
Vereinigte Arabische Emirate,Emirats arabes unis,1416517.0,965703.0,252.0,,1815057.0,2392944.0,,,,,,,,,,,,,,,,
Vereinigte Staaten von Amerika,États-Unis d'Amérique,3599445.0,213884.0,1961684.0,,1010000.0,231428.0,,658466.0,,34377386.0,,,,,,5067.0,,,,,,
